X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
52,Cole Aldrich,2010,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,10,11.48,3.35,55,2010,NBA,1,11,NOH,21.241,C,us,Kansas,2011,2018,339,10,3.1,3.3,0.5,0.4,0.7,0.527,0.527,NA,0.738,9.6,0.135
53,Xavier Henry,2010,12,77.25,78.5,83.25,105,36.5,141.5,28.5,133.5,210,4.7,8.75,10,8,11.1,3.18,384,2010,NBA,1,12,MEM,19.106,G,be,Kansas,2011,2015,185,15.7,5.7,1.9,0.6,0.5,0.1,0.406,0.419,0.325,0.635,0.8,0.013
54,Ed Davis,2010,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,NA,11.7,3.21,36,2010,NBA,1,13,TOR,21.024,F,us,UNC,2011,2020,646,20.2,6.5,6.8,0.8,0.5,0.8,0.569,0.57,0,0.583,41.4,0.153
55,Patrick Patterson,2010,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,17,11.14,3.25,134,2010,NBA,1,14,HOU,21.107,F,us,Kentucky,2011,2020,629,21.8,6.9,4.1,1.1,0.6,0.5,0.449,0.499,0.367,0.748,28.9,0.101
56,Larry Sanders,2010,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,7,12.49,3.27,117,2010,NBA,1,15,MIL,21.22,C-F,us,Virginia Commonwealth,2011,2017,238,19.5,6.4,5.7,0.7,0.6,1.8,0.48,0.481,0,0.553,10.3,0.107
57,Luke Babbitt,2010,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,15,10.98,3.4,251,2010,NBA,1,16,MIN,21.009,F,us,Nevada,2011,2018,381,14,4.8,2.2,0.6,0.2,0.2,0.408,0.417,0.402,0.747,7.2,0.065
58,Eric Bledsoe,2010,18,72.25,73.5,79.5,98,NA,NA,NA,NA,192,5.6,8.5,9.75,9,NA,NA,108,2010,NBA,1,18,OKC,20.202,G,us,Kentucky,2011,2020,576,27.9,14.1,3.9,4.8,1.5,0.5,0.454,0.503,0.334,0.793,37.3,0.111
59,Avery Bradley,2010,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,2,11.47,3.14,300,2010,NBA,1,19,BOS,19.215,G,us,Texas,2011,2020,528,28.6,12,3,1.8,1,0.2,0.436,0.471,0.364,0.777,15,0.048
60,Evan Turner,2010,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,9,11.06,3.27,288,2010,NBA,1,2,PHI,21.245,G,us,Ohio State,2011,2020,689,27.2,9.8,4.7,3.5,0.8,0.3,0.435,0.459,0.296,0.781,20.7,0.053
61,James Anderson,2010,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,14,11.86,3.19,332,2010,NBA,1,20,SAS,21.096,G-F,us,Oklahoma State,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,3.3,0.037
