Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
Dion Waiters,4.0,74.5,76.0,79.25,98.0,,,,,221.0,8.5,8.5,9.5,,,,333,2012,CLE,20.206,G,us,Syracuse,2013.0,2019.0,409.0,28.4,13.2,2.7,2.8,0.9,0.3,0.41200000000000003,0.44299999999999995,0.34700000000000003,0.6920000000000001,8.7,0.036000000000000004
Will Barton,40.0,77.0,78.0,81.75,102.5,34.0,136.5,30.0,132.5,174.0,4.1,9.0,9.5,,12.5,3.6,217,2012,POR,21.179000000000002,G,us,Memphis,2013.0,2020.0,442.0,23.3,10.6,4.0,2.4,0.7,0.4,0.43,0.47600000000000003,0.342,0.789,16.8,0.078
Tyshawn Taylor,41.0,74.75,76.0,78.25,97.5,36.5,134.0,32.0,129.5,177.0,4.2,8.75,8.75,,11.48,3.2,420,2012,POR,22.083000000000002,G,us,Kansas,2013.0,2014.0,61.0,8.0,2.9,0.5,0.9,0.4,0.0,0.354,0.353,0.36,0.684,-0.9,-0.08800000000000001
Doron Lamb,42.0,75.25,76.75,78.75,98.5,33.5,132.0,29.0,127.5,199.0,6.7,8.5,8.75,2.0,11.12,3.41,397,2012,MIL,20.24,G,us,Kentucky,2013.0,2014.0,100.0,12.7,3.5,1.0,0.8,0.2,0.0,0.381,0.37200000000000005,0.39399999999999996,0.7,0.1,0.005
Mike Scott,43.0,79.25,80.75,82.75,104.0,32.5,136.5,27.0,131.0,241.0,10.6,8.5,9.0,14.0,11.59,3.44,156,2012,ATL,23.353,F,us,Virginia,2013.0,2020.0,441.0,16.3,7.2,3.1,0.9,0.3,0.1,0.46399999999999997,0.526,0.364,0.757,13.6,0.091
Kim English,44.0,76.5,77.75,78.5,98.0,36.5,134.5,29.0,127.0,192.0,4.3,8.5,8.75,,10.59,3.33,365,2012,DET,23.283,G,us,Missouri,2013.0,2013.0,41.0,9.9,2.9,0.9,0.6,0.4,0.1,0.375,0.452,0.28,0.7240000000000001,0.2,0.021
Darius Miller,46.0,78.0,79.5,81.0,101.0,37.0,138.0,33.0,134.0,233.0,7.5,8.5,8.75,14.0,11.34,3.31,282,2012,NOH,22.105,F,us,Kentucky,2013.0,2019.0,253.0,20.4,6.0,1.7,1.4,0.4,0.2,0.418,0.495,0.382,0.83,5.9,0.055
Kevin Murphy,47.0,77.0,78.25,78.75,99.0,36.5,135.5,31.0,130.0,194.0,5.8,8.5,8.5,11.0,10.97,3.42,406,2012,UTA,22.12,G,us,Tennessee Technological University,2013.0,2013.0,17.0,3.1,0.9,0.2,0.1,0.1,0.0,0.25,0.261,0.2,,-0.3,-0.272
Kyle O'Quinn,49.0,80.5,82.0,88.75,106.5,31.5,138.0,31.5,138.0,241.0,8.0,9.5,10.0,,11.65,3.53,74,2012,ORL,22.1,F-C,us,Norfolk State,2013.0,2020.0,448.0,14.4,5.5,4.6,1.3,0.4,1.0,0.517,0.537,0.21100000000000002,0.7440000000000001,16.9,0.126
Thomas Robinson,5.0,79.75,80.75,87.25,106.0,35.5,141.5,28.5,134.5,244.0,5.0,9.75,10.5,15.0,11.96,3.17,289,2012,SAC,21.109,F,us,Kansas,2013.0,2017.0,313.0,13.4,4.9,4.8,0.6,0.5,0.4,0.47,0.47200000000000003,0.0,0.505,4.6,0.053
Kris Joseph,51.0,78.0,79.0,83.0,104.0,35.0,139.0,28.5,132.5,215.0,8.6,9.0,9.0,6.0,,3.46,413,2012,BOS,23.199,F,ca,Syracuse,2013.0,2013.0,10.0,5.4,0.9,0.7,0.1,0.3,0.0,0.14300000000000002,0.182,0.0,0.625,-0.1,-0.127
Darius Johnson-Odom,55.0,73.5,75.0,79.0,96.0,41.5,137.5,33.5,129.5,212.0,7.0,8.75,8.75,17.0,10.76,3.21,403,2012,DAL,22.279,G,us,Marquette,2013.0,2014.0,7.0,3.0,0.0,0.9,0.3,0.1,0.0,0.0,0.0,0.0,0.0,-0.3,-0.597
Robbie Hummel,58.0,79.25,80.5,80.5,102.0,30.0,132.0,27.5,129.5,218.0,9.4,8.5,9.5,13.0,11.56,3.41,249,2012,MIN,23.118000000000002,F,us,Purdue,2014.0,2015.0,98.0,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.34299999999999997,0.867,1.9,0.066
Damian Lillard,6.0,73.75,74.75,79.75,95.5,39.5,135.0,34.5,130.0,189.0,5.9,8.75,9.75,13.0,11.15,3.34,20,2012,POR,21.354,G,us,Weber State,2013.0,2020.0,555.0,36.3,23.6,4.2,6.4,1.0,0.3,0.434,0.48100000000000004,0.369,0.889,71.6,0.171
Harrison Barnes,7.0,79.0,80.0,83.25,101.5,39.5,141.0,38.0,139.5,228.0,9.6,9.0,8.5,15.0,10.93,3.16,175,2012,GSW,20.034000000000002,F,us,UNC,2013.0,2020.0,547.0,30.8,13.6,4.9,1.5,0.7,0.2,0.447,0.47600000000000003,0.373,0.795,30.2,0.086
Terrence Ross,8.0,78.0,79.0,79.25,100.5,37.5,138.0,31.0,131.5,197.0,3.2,8.75,10.25,2.0,11.78,3.28,227,2012,TOR,21.149,F-G,us,Washington,2013.0,2020.0,498.0,24.2,10.5,2.8,1.1,0.8,0.3,0.42100000000000004,0.47600000000000003,0.371,0.821,18.9,0.075
Andre Drummond,9.0,81.75,83.75,90.25,109.5,33.5,143.0,31.5,141.0,279.0,7.5,9.5,9.5,10.0,10.83,3.39,28,2012,DET,18.327,C,us,UConn,2013.0,2020.0,549.0,30.9,14.2,13.8,1.2,1.3,1.6,0.544,0.5489999999999999,0.13699999999999998,0.451,57.4,0.162
Michael Carter-Williams,11.0,76.75,77.75,79.25,101.0,41.0,142.0,31.5,132.5,184.0,4.4,7.5,8.5,8.0,10.68,3.22,343,2013,PHI,21.266,G,us,Syracuse,2014.0,2020.0,319.0,26.1,10.8,4.5,4.6,1.3,0.6,0.4,0.433,0.253,0.7020000000000001,5.2,0.03
Steven Adams,12.0,82.75,84.0,88.5,109.5,33.0,142.5,28.5,138.0,255.0,6.7,9.5,11.0,16.0,11.85,3.4,44,2013,OKC,19.347,C,nz,Pitt,2014.0,2020.0,471.0,26.8,9.6,7.4,1.0,0.9,1.0,0.585,0.5870000000000001,0.0,0.551,38.8,0.147
Kelly Olynyk,13.0,82.75,84.0,81.75,108.0,29.5,137.5,24.5,132.5,234.0,6.7,8.5,10.0,5.0,11.42,3.59,71,2013,DAL,22.075,C-F,ca,Gonzaga,2014.0,2020.0,439.0,21.6,9.8,4.9,1.9,0.7,0.5,0.47600000000000003,0.5489999999999999,0.365,0.7659999999999999,25.1,0.127
Shabazz Muhammad,14.0,76.75,78.25,83.0,104.5,37.0,141.5,29.5,134.0,222.0,9.0,9.0,10.0,10.0,10.99,3.32,183,2013,UTA,20.230999999999998,F-G,us,UCLA,2014.0,2018.0,278.0,17.2,9.0,2.8,0.5,0.3,0.1,0.473,0.51,0.319,0.7509999999999999,8.5,0.085
Shane Larkin,18.0,70.25,71.5,70.75,89.5,44.0,133.5,34.5,124.0,171.0,3.8,7.5,8.75,12.0,10.64,3.08,313,2013,ATL,20.273,G,us,Miami (FL),2014.0,2018.0,256.0,19.1,5.5,1.9,2.9,0.9,0.1,0.42200000000000004,0.45399999999999996,0.336,0.777,4.4,0.044000000000000004
Victor Oladipo,2.0,75.25,76.25,81.25,100.5,42.0,142.5,33.0,133.5,213.0,6.6,8.75,9.25,15.0,10.69,3.25,171,2013,ORL,21.059,G,us,Indiana,2014.0,2019.0,402.0,33.2,17.5,4.6,4.0,1.7,0.5,0.44299999999999995,0.48200000000000004,0.35200000000000004,0.7929999999999999,24.2,0.087
Tony Snell,20.0,78.0,79.25,83.5,105.5,36.5,142.0,30.0,135.5,198.0,4.9,9.0,9.5,7.0,10.36,3.25,247,2013,CHI,21.235,G-F,us,New Mexico,2014.0,2020.0,449.0,21.9,6.3,2.4,1.0,0.5,0.2,0.425,0.48100000000000004,0.38299999999999995,0.821,13.8,0.067
Gorgui Dieng,21.0,81.75,82.75,87.5,111.5,,,,,230.0,5.4,9.0,10.0,,,,96,2013,UTA,23.166,C,sn,Louisville,2014.0,2020.0,454.0,22.6,8.0,6.2,1.4,0.8,1.0,0.506,0.519,0.335,0.789,24.6,0.115
Mason Plumlee,22.0,83.25,84.5,83.0,108.0,36.0,144.0,30.5,138.5,238.0,6.2,9.75,9.5,14.0,10.89,3.29,47,2013,BRK,23.12,C-F,us,Duke,2014.0,2020.0,477.0,22.0,8.4,6.3,2.2,0.8,1.0,0.57,0.5760000000000001,0.071,0.5660000000000001,31.4,0.14400000000000002
Solomon Hill,23.0,77.5,79.0,81.0,103.0,37.5,140.5,29.5,132.5,226.0,7.6,9.0,10.5,14.0,10.77,3.19,256,2013,IND,22.107,F,us,Arizona,2014.0,2020.0,308.0,22.6,5.9,3.3,1.5,0.7,0.2,0.396,0.44799999999999995,0.33,0.805,9.3,0.064
Reggie Bullock,25.0,77.75,79.0,80.75,102.0,36.5,138.5,31.0,133.0,200.0,7.0,8.5,9.0,11.0,11.33,3.31,165,2013,LAC,22.109,G-F,us,UNC,2014.0,2019.0,272.0,19.3,6.8,2.1,1.1,0.5,0.1,0.434,0.495,0.392,0.828,9.7,0.08900000000000001
Andre Roberson,26.0,78.25,79.0,83.0,104.5,36.5,141.0,30.0,134.5,206.0,7.1,8.75,9.5,10.0,11.36,3.34,152,2013,MIN,21.211,G-F,us,Colorado,2014.0,2018.0,295.0,22.5,4.6,4.0,0.9,0.9,0.7,0.48200000000000004,0.609,0.257,0.467,12.7,0.092
Rudy Gobert,27.0,84.5,86.0,92.5,115.0,29.0,144.0,25.0,140.0,238.0,4.4,9.75,10.0,7.0,12.85,3.57,4,2013,DEN,21.006,C,fr,,2014.0,2020.0,413.0,28.8,11.1,10.6,1.3,0.7,2.2,0.628,0.629,0.0,0.631,53.6,0.21600000000000003
Archie Goodwin,29.0,75.75,77.25,81.5,102.0,36.0,138.0,30.0,132.0,189.0,4.6,8.5,9.0,1.0,10.75,3.27,360,2013,OKC,18.319000000000003,G,us,Kentucky,2014.0,2017.0,165.0,14.5,6.3,2.0,1.2,0.4,0.2,0.429,0.484,0.23600000000000002,0.7,1.1,0.022000000000000002
Otto Porter,3.0,79.5,80.5,85.5,105.5,36.0,141.5,27.0,132.5,198.0,6.7,8.75,9.25,9.0,11.25,3.4,68,2013,WAS,20.029,F,us,Georgetown,2014.0,2020.0,406.0,26.9,11.0,5.0,1.5,1.2,0.4,0.48100000000000004,0.527,0.40299999999999997,0.7909999999999999,29.2,0.128
Allen Crabbe,31.0,77.25,78.25,83.25,103.5,36.0,139.5,30.5,134.0,197.0,4.7,8.25,8.5,10.0,10.67,3.32,218,2013,CLE,21.084,G-F,us,Cal,2014.0,2019.0,344.0,24.6,9.5,2.9,1.2,0.6,0.3,0.429,0.47200000000000003,0.39299999999999996,0.835,13.8,0.078
Carrick Felix,33.0,76.75,78.25,81.25,103.5,38.5,142.0,32.0,135.5,203.0,3.3,8.5,9.5,15.0,11.16,3.25,276,2013,CLE,22.32,G,us,Arizona State,2014.0,2014.0,7.0,5.4,2.7,0.9,0.6,0.0,0.0,0.5,0.556,0.4,0.75,0.0,0.057
Isaiah Canaan,34.0,71.0,72.0,76.5,94.5,40.5,135.0,33.0,127.5,188.0,5.9,8.25,9.5,16.0,10.98,3.22,319,2013,HOU,22.043000000000003,G,us,Murray State,2014.0,2019.0,235.0,20.4,8.1,1.9,1.9,0.6,0.1,0.371,0.40399999999999997,0.35100000000000003,0.836,4.3,0.043
Glen Rice,35.0,76.5,77.75,81.25,101.5,40.5,142.0,33.0,134.5,211.0,8.5,8.5,9.0,10.0,10.99,3.25,422,2013,PHI,22.183000000000003,G,us,Georgia Tech,2014.0,2015.0,16.0,9.5,2.7,1.5,0.6,0.4,0.1,0.26899999999999996,0.28600000000000003,0.25,0.6920000000000001,-0.2,-0.065
Ray McCallum,36.0,72.25,73.75,75.25,96.5,40.0,136.5,30.5,127.0,191.0,7.3,8.0,8.75,5.0,10.82,3.25,337,2013,SAC,22.021,G,us,Detroit Mercy,2014.0,2016.0,154.0,18.2,6.0,2.0,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
Tony Mitchell,37.0,79.5,80.75,86.5,106.5,38.0,144.5,33.5,140.0,236.0,5.6,9.0,10.0,13.0,11.82,3.52,39,2013,DET,21.086,F,us,University of North Texas,2014.0,2014.0,21.0,3.8,1.0,1.2,0.1,0.3,0.1,0.41700000000000004,0.364,1.0,0.579,0.2,0.151
Nate Wolters,38.0,75.5,76.75,75.75,98.0,,,,,196.0,5.5,8.25,8.75,8.0,,,351,2013,WAS,22.049,G,us,South Dakota State University,2014.0,2018.0,84.0,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.027999999999999997
Jeff Withey,39.0,82.75,84.5,86.0,110.5,29.0,139.5,26.5,137.0,222.0,8.7,9.0,9.75,10.0,12.49,3.47,32,2013,POR,23.118000000000002,C,us,Kansas,2014.0,2018.0,206.0,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.14300000000000002,0.716,6.8,0.157
Cody Zeller,4.0,82.75,84.25,82.75,106.0,37.5,143.5,35.5,141.5,230.0,4.8,8.5,10.5,17.0,10.82,3.15,51,2013,CHA,20.27,C-F,us,Indiana,2014.0,2020.0,366.0,23.0,8.3,5.9,1.4,0.7,0.8,0.512,0.517,0.28,0.7390000000000001,24.6,0.14
Grant Jerrett,40.0,80.75,82.25,86.0,109.0,34.0,143.0,28.5,137.5,232.0,10.1,8.5,9.25,2.0,11.85,3.51,412,2013,POR,19.359,F,us,Arizona,2015.0,2015.0,8.0,6.4,2.0,1.1,0.4,0.3,0.3,0.26899999999999996,0.545,0.067,1.0,-0.1,-0.128
Jamaal Franklin,41.0,76.0,77.25,83.25,103.5,,,,,191.0,8.3,8.5,8.25,,,,460,2013,MEM,21.346999999999998,G,us,San Diego State,2014.0,2015.0,24.0,7.3,1.8,1.0,0.4,0.2,0.1,0.415,0.39299999999999996,0.462,1.0,0.0,-0.006
Pierre Jackson,42.0,69.5,70.5,70.0,90.0,,,,,176.0,4.5,7.5,8.25,,,,366,2013,PHI,21.308000000000003,G,us,Baylor,2017.0,2017.0,8.0,10.5,4.4,1.1,2.4,0.3,0.0,0.33299999999999996,0.35700000000000004,0.273,0.857,0.0,0.021
Ricky Ledo,43.0,76.75,78.0,79.25,102.5,33.5,136.0,27.0,129.5,197.0,10.3,8.5,9.25,4.0,10.72,3.32,416,2013,MIL,20.295,G,us,Providence,2014.0,2015.0,28.0,9.9,3.9,1.4,0.8,0.3,0.0,0.336,0.321,0.371,0.769,-0.6,-0.096
Mike Muscala,44.0,82.25,83.5,85.0,108.0,33.5,141.5,28.0,136.0,230.0,6.8,8.5,9.0,5.0,11.76,3.44,97,2013,DAL,22.002,F-C,us,Bucknell,2014.0,2020.0,312.0,15.9,5.7,3.3,0.9,0.4,0.5,0.462,0.545,0.35600000000000004,0.843,11.8,0.115
Erick Green,46.0,73.5,75.0,77.75,98.0,,,,,178.0,4.4,8.5,9.0,5.0,,,388,2013,UTA,22.055,G,us,Virginia Tech,2015.0,2016.0,52.0,8.7,3.1,0.7,0.8,0.3,0.0,0.377,0.415,0.28800000000000003,0.857,0.1,0.011000000000000001
Ryan Kelly,48.0,81.75,83.75,83.5,110.0,,,,,228.0,14.8,9.0,10.0,,,,306,2013,LAL,22.085,F,us,Duke,2014.0,2017.0,163.0,19.2,6.0,3.1,1.3,0.5,0.5,0.37799999999999995,0.41600000000000004,0.316,0.797,3.0,0.046
Erik Murphy,49.0,80.75,81.5,82.5,108.0,29.5,137.5,24.5,132.5,240.0,8.0,8.75,9.75,13.0,12.19,3.57,423,2013,CHI,22.25,F,fr,Florida,2014.0,2014.0,24.0,2.6,0.3,0.3,0.1,0.0,0.2,0.231,0.3,0.0,,-0.1,-0.055
James Ennis,50.0,77.75,79.0,83.5,104.5,36.5,141.0,29.5,134.0,201.0,4.5,8.5,8.75,7.0,11.55,3.4,140,2013,ATL,23.002,F,us,Cal State Long Beach,2015.0,2020.0,283.0,20.5,6.5,3.2,0.9,0.6,0.3,0.457,0.536,0.35600000000000004,0.794,12.0,0.099
Lorenzo Brown,52.0,76.0,77.25,79.0,100.0,34.0,134.0,28.0,128.0,189.0,4.0,8.25,8.5,8.0,11.78,3.4,459,2013,MIN,22.311,G,us,NC State,2014.0,2019.0,103.0,11.5,2.8,1.5,1.8,0.6,0.1,0.364,0.45299999999999996,0.17,0.7070000000000001,-0.2,-0.006999999999999999
Peyton Siva,56.0,71.5,73.0,75.0,93.0,41.5,134.5,33.5,126.5,181.0,6.1,8.0,9.75,15.0,10.59,3.16,436,2013,DET,22.252,G,us,Louisville,2014.0,2014.0,24.0,9.3,2.3,0.6,1.4,0.4,0.0,0.316,0.344,0.28,0.733,-0.2,-0.032
Nerlens Noel,6.0,82.0,83.75,87.75,110.0,,,,,206.0,4.2,9.5,10.0,,,,84,2013,NOH,19.083,C-F,us,Kentucky,2015.0,2020.0,306.0,22.7,8.1,6.4,1.2,1.4,1.4,0.525,0.526,0.25,0.634,17.2,0.11900000000000001
Ben McLemore,7.0,75.5,76.75,79.75,100.5,42.0,142.5,32.5,133.0,189.0,5.0,8.75,9.5,6.0,11.87,3.27,355,2013,SAC,20.141,G,us,Kansas,2014.0,2020.0,374.0,23.5,8.7,2.4,1.1,0.7,0.2,0.41700000000000004,0.467,0.354,0.7829999999999999,4.7,0.026000000000000002
Kentavious Caldwell-Pope,8.0,76.5,77.5,80.0,100.5,34.5,135.0,29.0,129.5,204.0,6.5,8.5,9.0,7.0,10.6,3.12,196,2013,DET,20.134,G,us,Georgia,2014.0,2020.0,476.0,29.7,11.8,3.3,1.6,1.2,0.2,0.41200000000000003,0.47100000000000003,0.345,0.799,24.0,0.08199999999999999
Trey Burke,9.0,71.75,73.25,77.5,97.5,36.5,134.0,29.5,127.0,187.0,6.9,8.25,8.75,3.0,11.2,3.16,274,2013,MIN,20.232,G,us,Michigan,2014.0,2019.0,361.0,23.6,10.9,2.1,3.6,0.6,0.1,0.408,0.445,0.34,0.8,10.2,0.057999999999999996
Elfrid Payton,10.0,74.5,75.75,80.0,98.5,35.5,134.0,31.5,130.0,185.0,5.7,8.75,9.0,,11.06,3.23,261,2014,PHI,20.129,G,us,Louisiana,2015.0,2020.0,346.0,29.5,11.1,4.3,6.5,1.3,0.3,0.45299999999999996,0.47700000000000004,0.307,0.632,13.4,0.063
Doug McDermott,11.0,78.25,79.75,81.25,103.0,36.5,139.5,28.5,131.5,218.0,7.1,8.75,9.75,,11.1,3.29,232,2014,DEN,22.18,F,us,Creighton,2015.0,2020.0,347.0,19.9,7.7,2.1,0.8,0.2,0.1,0.457,0.498,0.40299999999999997,0.8240000000000001,10.5,0.073
Zach LaVine,13.0,76.5,77.75,80.25,100.0,41.5,141.5,33.5,133.5,181.0,4.7,8.25,8.75,,10.42,3.19,315,2014,MIN,19.113,G,us,UCLA,2015.0,2020.0,300.0,30.0,16.2,3.4,3.5,0.9,0.2,0.446,0.48,0.374,0.8220000000000001,8.2,0.044000000000000004
T.J. Warren,14.0,79.0,80.25,82.25,104.0,35.5,139.5,27.0,131.0,220.0,8.0,8.75,9.0,,11.1,3.26,184,2014,PHO,20.299,F,us,NC State,2015.0,2020.0,267.0,27.9,14.4,4.1,1.1,1.0,0.5,0.496,0.524,0.33299999999999996,0.765,13.1,0.085
Adreian Payne,15.0,81.0,81.75,88.0,109.0,,,,,239.0,7.6,9.25,9.5,,,,447,2014,ATL,23.133000000000003,F-C,us,Michigan State,2015.0,2018.0,107.0,13.1,4.0,2.9,0.6,0.4,0.3,0.406,0.43,0.254,0.68,-0.6,-0.019
James Young,17.0,77.25,78.75,84.0,104.0,35.5,139.5,28.0,132.0,213.0,5.1,9.0,9.5,,,,307,2014,BOS,18.319000000000003,G-F,us,Kentucky,2015.0,2018.0,95.0,8.5,2.3,1.0,0.3,0.3,0.1,0.36700000000000005,0.534,0.27699999999999997,0.563,0.8,0.046
Tyler Ennis,18.0,73.0,74.5,79.25,98.0,36.0,134.0,29.0,127.0,182.0,6.2,8.25,8.75,,11.12,3.3,356,2014,PHO,19.311,G,ca,Syracuse,2015.0,2018.0,186.0,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.45799999999999996,0.317,0.768,1.3,0.026000000000000002
Gary Harris,19.0,74.5,76.5,78.75,96.0,,,,,205.0,4.6,8.5,9.5,,,,177,2014,CHI,19.29,G,us,Michigan State,2015.0,2020.0,318.0,28.5,12.4,2.6,2.1,1.2,0.2,0.45899999999999996,0.524,0.365,0.8009999999999999,16.2,0.086
Jordan Adams,22.0,75.5,76.75,82.0,102.0,29.5,131.5,24.5,126.5,209.0,10.8,8.5,7.5,,12.13,3.5,239,2014,MEM,19.358,G,us,UCLA,2015.0,2016.0,32.0,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.07
Rodney Hood,23.0,79.25,80.5,80.5,103.0,36.0,139.0,29.0,132.0,208.0,7.5,8.5,8.5,,11.21,3.38,167,2014,UTA,21.254,G-F,us,Duke,2015.0,2020.0,326.0,27.3,12.6,2.9,1.9,0.8,0.2,0.424,0.466,0.369,0.84,16.6,0.08900000000000001
Shabazz Napier,24.0,71.0,73.0,75.25,93.0,37.5,130.5,30.5,123.5,175.0,7.4,8.25,8.5,,11.6,3.2,248,2014,CHH,22.353,G,us,UConn,2015.0,2020.0,294.0,16.2,6.4,1.7,2.1,0.8,0.1,0.391,0.43,0.35,0.8140000000000001,6.6,0.067
P.J. Hairston,26.0,76.25,77.25,81.0,101.0,37.0,138.0,32.0,133.0,229.0,8.2,8.75,9.75,,11.12,3.32,367,2014,MIA,21.189,G-F,us,UNC,2015.0,2016.0,111.0,18.0,6.0,2.4,0.5,0.5,0.2,0.34299999999999997,0.414,0.295,0.81,0.9,0.021
C.J. Wilcox,28.0,75.5,77.0,81.75,100.5,37.5,138.0,31.0,131.5,201.0,6.5,8.75,9.0,,11.3,3.22,392,2014,LAC,23.184,G,us,Washington,2015.0,2017.0,66.0,5.7,2.0,0.5,0.5,0.2,0.1,0.37,0.397,0.33299999999999996,0.813,0.1,0.006999999999999999
Kyle Anderson,30.0,79.5,80.5,86.75,107.5,,,,,230.0,13.4,8.25,8.75,,,,76,2014,SAS,20.284000000000002,F-G,us,UCLA,2015.0,2020.0,305.0,19.6,5.4,3.9,1.9,1.0,0.5,0.493,0.52,0.322,0.7020000000000001,15.6,0.125
K.J. McDaniels,32.0,76.5,78.0,83.25,102.0,37.0,139.0,33.0,135.0,196.0,4.5,8.75,9.75,,12.71,3.1,345,2014,PHI,21.142,G-F,us,Clemson,2015.0,2017.0,148.0,14.1,5.3,2.2,0.6,0.5,0.6,0.41200000000000003,0.479,0.29,0.7759999999999999,1.3,0.03
Joe Harris,33.0,76.75,78.25,78.0,100.0,33.5,133.5,28.5,128.5,215.0,6.2,8.5,9.75,,11.11,3.31,178,2014,CLE,22.299,G,us,Virginia,2015.0,2020.0,268.0,22.8,9.5,2.9,1.5,0.4,0.2,0.478,0.5379999999999999,0.43200000000000005,0.7959999999999999,10.9,0.086
Cleanthony Early,34.0,78.0,79.25,82.75,101.5,40.0,141.5,34.0,135.5,209.0,4.5,8.5,9.0,,11.15,3.18,431,2014,NYK,23.076,F,us,Wichita State,2015.0,2016.0,56.0,14.3,4.3,2.2,0.8,0.5,0.3,0.34600000000000003,0.4,0.263,0.75,-0.6,-0.039
Jarnell Stokes,35.0,79.0,80.5,85.25,103.5,36.0,139.5,31.0,134.5,263.0,8.2,9.75,10.5,,11.92,3.26,9,2014,UTA,20.175,F-C,us,Tennessee,2015.0,2017.0,28.0,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.20199999999999999
Johnny O'Bryant,36.0,79.25,80.5,86.25,105.0,35.5,140.5,31.0,136.0,257.0,10.8,9.25,9.5,,11.57,3.45,394,2014,MIL,21.03,F-C,us,LSU,2015.0,2018.0,147.0,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.6629999999999999,0.2,0.006
Spencer Dinwiddie,38.0,76.5,78.0,80.25,103.0,,,,,205.0,5.4,8.25,9.0,,,,127,2014,DET,21.086,G,us,Colorado,2015.0,2020.0,259.0,24.4,11.1,2.6,4.5,0.7,0.3,0.40700000000000003,0.47700000000000004,0.32,0.8,13.7,0.10400000000000001
Jerami Grant,39.0,78.5,79.75,86.75,107.0,,,,,214.0,3.8,9.25,9.25,,,,147,2014,PHI,20.111,F,us,Syracuse,2015.0,2020.0,389.0,24.1,8.8,3.9,1.0,0.6,1.2,0.461,0.522,0.331,0.654,18.3,0.094
Aaron Gordon,4.0,79.5,80.75,83.75,105.0,39.0,144.0,32.5,137.5,220.0,5.1,8.75,10.5,,10.81,3.27,153,2014,ORL,18.288,F,us,Arizona,2015.0,2020.0,347.0,27.9,12.4,6.2,2.2,0.8,0.6,0.45,0.511,0.321,0.705,18.5,0.092
Glenn Robinson,40.0,77.5,78.75,82.0,100.5,41.5,142.0,36.5,137.0,211.0,5.1,9.0,9.5,,11.22,3.15,234,2014,MIN,20.174,G-F,us,Michigan,2015.0,2020.0,225.0,14.8,4.5,2.2,0.6,0.4,0.2,0.441,0.48200000000000004,0.361,0.735,5.0,0.07200000000000001
Nick Johnson,42.0,73.5,75.0,79.25,96.5,41.5,138.0,33.5,130.0,198.0,6.1,8.75,9.75,,10.8,3.27,446,2014,HOU,21.191,G,us,Arizona,2015.0,2015.0,28.0,9.4,2.6,1.4,0.4,0.3,0.1,0.34700000000000003,0.389,0.23800000000000002,0.68,-0.1,-0.02
Markel Brown,44.0,74.5,75.5,80.75,100.0,43.5,143.5,36.5,136.5,184.0,4.2,8.25,9.75,,12.62,3.18,348,2014,MIN,22.154,G,us,Oklahoma State,2015.0,2018.0,113.0,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.42700000000000005,0.295,0.7809999999999999,1.1,0.028999999999999998
Dwight Powell,45.0,81.5,83.0,84.5,105.0,35.0,140.0,28.5,133.5,234.0,6.2,9.0,9.25,,11.28,3.2,14,2014,CHH,22.346999999999998,F-C,ca,Stanford,2015.0,2020.0,334.0,17.8,7.5,4.5,0.9,0.7,0.5,0.5529999999999999,0.613,0.298,0.748,22.5,0.18100000000000002
Jordan Clarkson,46.0,75.25,77.0,80.0,98.0,38.5,136.5,33.0,131.0,186.0,4.3,8.25,9.0,,10.76,3.28,297,2014,WAS,22.024,G,us,Missouri,2015.0,2020.0,388.0,27.5,14.7,3.2,2.7,0.9,0.1,0.445,0.49700000000000005,0.335,0.818,11.1,0.05
Russ Smith,47.0,71.5,72.75,75.5,95.0,34.0,129.0,29.5,124.5,160.0,3.5,8.25,8.5,,11.57,3.27,421,2014,PHI,23.074,G,us,Louisville,2015.0,2016.0,27.0,4.9,2.0,0.6,0.7,0.3,0.0,0.319,0.387,0.188,0.769,-0.2,-0.068
Lamar Patterson,48.0,76.0,77.25,83.0,101.0,32.5,133.5,27.5,128.5,226.0,10.8,9.0,9.25,,11.63,3.45,395,2014,MIL,22.324,G-F,us,Pitt,2016.0,2017.0,40.0,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.23600000000000002,0.72,0.1,0.006
