Player,Pk,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
Andrew Nicholson,19.0,80.5,81.5,88.0,107.0,30.5,137.5,28.5,135.5,234.0,7.6,10.0,10.75,10.0,11.89,3.67,309,2012,ORL,22.208000000000002,F,ca,St. Bonaventure,2013.0,2017.0,285.0,14.3,6.0,3.0,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
Michael Kidd-Gilchrist,2.0,77.75,79.5,84.0,104.5,35.5,140.0,32.0,136.5,233.0,7.0,9.0,10.25,6.0,11.77,3.18,146,2012,CHA,18.28,F,us,Kentucky,2013.0,2020.0,422.0,25.4,8.8,5.6,1.2,0.7,0.7,0.47700000000000004,0.48200000000000004,0.28600000000000003,0.7140000000000001,21.1,0.095
Jared Sullinger,21.0,79.75,81.0,85.25,105.5,31.0,136.5,29.5,135.0,268.0,10.7,9.25,9.75,9.0,12.77,3.81,104,2012,BOS,20.121,F,us,Ohio State,2013.0,2017.0,269.0,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.47600000000000003,0.272,0.723,15.3,0.113
Fab Melo,22.0,82.75,84.0,86.5,110.0,31.0,141.0,29.5,139.5,255.0,9.2,9.0,10.0,9.0,12.14,3.44,364,2012,BOS,22.014,C,br,Syracuse,2013.0,2013.0,6.0,6.0,1.2,0.5,0.0,0.3,0.3,0.5,0.5,,0.25,0.0,0.021
John Jenkins,23.0,75.25,76.25,80.5,98.0,36.5,134.5,30.5,128.5,212.0,7.1,9.0,9.0,10.0,11.36,3.37,253,2012,ATL,21.12,G,us,Vanderbilt,2013.0,2019.0,171.0,12.8,5.0,1.5,0.8,0.2,0.1,0.441,0.503,0.36700000000000005,0.847,3.0,0.065
Jared Cunningham,24.0,75.5,77.0,78.5,98.0,,,,,188.0,3.6,8.25,9.0,4.0,,,376,2012,CLE,21.043000000000003,G,us,Oregon State,2013.0,2016.0,84.0,7.2,2.3,0.7,0.5,0.3,0.0,0.34700000000000003,0.369,0.306,0.674,0.2,0.017
Tony Wroten,25.0,76.75,78.0,81.0,101.0,35.5,136.5,30.0,131.0,203.0,5.2,8.0,9.0,,10.75,3.24,443,2012,MEM,19.081,G,us,Washington,2013.0,2016.0,145.0,21.2,11.1,2.5,3.0,0.9,0.2,0.413,0.47700000000000004,0.231,0.647,-1.3,-0.021
Miles Plumlee,26.0,82.5,83.75,84.75,105.5,40.5,146.0,34.0,139.5,252.0,11.4,9.25,9.0,15.0,10.64,3.36,159,2012,IND,23.305999999999997,C-F,us,Duke,2013.0,2019.0,346.0,16.4,4.9,4.5,0.5,0.4,0.7,0.542,0.542,,0.5429999999999999,10.6,0.09
Arnett Moultrie,27.0,81.5,82.75,86.25,106.5,37.5,144.0,33.5,140.0,233.0,7.7,9.25,9.25,10.0,11.32,3.22,105,2012,MIA,21.228,F,us,Mississippi State,2013.0,2014.0,59.0,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
Perry Jones,28.0,82.25,83.25,85.75,107.0,38.5,145.5,33.0,140.0,234.0,4.6,9.25,9.5,11.0,11.31,3.19,302,2012,OKC,20.283,F,us,Baylor,2013.0,2015.0,143.0,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
Marquis Teague,29.0,73.0,74.0,79.25,96.5,40.5,137.0,32.5,129.0,180.0,6.3,8.25,7.75,8.0,10.65,3.19,427,2012,CHI,19.125,G,us,Kentucky,2013.0,2018.0,91.0,10.0,2.4,1.0,1.5,0.3,0.1,0.34299999999999997,0.369,0.222,0.6609999999999999,-0.9,-0.045
Bradley Beal,3.0,75.25,76.75,80.0,100.0,39.0,139.0,33.0,133.0,202.0,6.0,8.5,9.0,8.0,10.95,3.28,126,2012,WAS,19.005,G,us,Florida,2013.0,2020.0,493.0,34.4,19.9,4.0,3.8,1.1,0.4,0.451,0.488,0.384,0.7979999999999999,36.7,0.10400000000000001
Festus Ezeli,30.0,81.75,83.5,89.75,108.0,33.5,141.5,34.0,142.0,264.0,5.5,9.0,10.75,18.0,12.35,3.29,83,2012,GSW,22.256,C,ng,Vanderbilt,2013.0,2016.0,170.0,14.1,4.2,4.3,0.4,0.3,1.0,0.513,0.513,,0.557,5.9,0.11900000000000001
Bernard James,33.0,80.75,82.0,87.0,108.5,32.5,141.0,30.0,138.5,230.0,5.0,9.0,9.25,6.0,11.84,3.4,90,2012,CLE,27.148000000000003,C,us,Florida State,2013.0,2015.0,92.0,8.3,2.2,2.3,0.1,0.2,0.7,0.49700000000000005,0.507,0.0,0.68,1.9,0.11699999999999999
Jae Crowder,34.0,76.75,78.5,81.25,99.5,34.5,134.0,31.0,130.5,241.0,9.0,9.5,10.5,20.0,11.45,3.37,128,2012,CLE,21.363000000000003,F,us,Marquette,2013.0,2020.0,548.0,24.3,9.4,3.9,1.4,1.0,0.3,0.42200000000000004,0.513,0.337,0.778,28.6,0.10300000000000001
Draymond Green,35.0,77.75,79.5,85.25,105.0,33.0,138.0,28.0,133.0,236.0,11.3,9.0,9.5,9.0,11.01,3.4,52,2012,GSW,22.122,F,us,Michigan State,2013.0,2020.0,538.0,28.1,9.1,6.9,4.9,1.4,1.1,0.439,0.509,0.32299999999999995,0.706,43.5,0.138
Orlando Johnson,36.0,75.75,77.25,83.25,99.0,39.5,138.5,32.0,131.0,224.0,7.0,9.0,9.5,13.0,10.98,3.25,271,2012,SAC,23.115,G,us,University of California Santa Barbara,2013.0,2016.0,103.0,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.39799999999999996,0.311,0.727,1.4,0.059000000000000004
Quincy Acy,37.0,78.5,79.75,86.75,106.5,37.0,143.5,32.0,138.5,224.0,7.1,9.5,11.0,13.0,10.48,3.28,216,2012,TOR,21.271,F-C,us,Baylor,2013.0,2019.0,337.0,16.0,4.9,3.5,0.6,0.4,0.4,0.444,0.506,0.35,0.759,8.7,0.078
Quincy Miller,38.0,80.75,82.0,85.25,105.0,36.0,141.0,30.5,135.5,219.0,7.8,9.25,10.25,8.0,11.05,3.48,465,2012,DEN,19.227,F,us,Baylor,2013.0,2015.0,69.0,13.5,4.3,2.4,0.5,0.4,0.5,0.35,0.38299999999999995,0.292,0.706,-0.1,-0.003
Khris Middleton,39.0,78.75,80.25,82.75,103.0,31.0,134.0,28.0,131.0,216.0,7.8,9.0,9.0,4.0,11.45,3.47,129,2012,DET,20.326,F-G,us,Texas A&M,2013.0,2020.0,461.0,31.7,15.7,4.5,3.2,1.3,0.2,0.452,0.485,0.38799999999999996,0.8690000000000001,31.5,0.10300000000000001
